# Z = 13, A = 27 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
K1-L2	346656		3.63315e+15
K1-L3	346924		3.62857e+15
K1-M2	412820		9.55839e+14
K1-M3	412899		9.5858e+14
K1-N2	435938		3.87617e+14
K1-N3	435971		3.8925e+14
K1-O2	446623		1.94778e+14
K1-O3	446640		1.95733e+14
K1-P2	452416		1.11417e+14
K1-P3	452426		1.12008e+14
K1-Q2	455898		6.94963e+13
K1-Q3	455904		6.9884e+13
K1-R2	458147		4.60948e+13
K1-R3	458151		4.63606e+13
K1-S2	459676		3.19932e+13
K1-S3	459679		3.2182e+13
K1-T2	459658		2.37451e+13
K1-T3	459660		2.38875e+13
K1-U2	460481		1.78156e+13
K1-U3	460482		1.7924e+13
K1-V2	461106		1.37081e+13
K1-V3	461107		1.37925e+13
K1-W2	461593		1.07729e+13
K1-W3	461594		1.08398e+13
K1-X2	461979		8.61966e+12
K1-X3	461980		8.67367e+12
K1-Y2	462291		7.00435e+12
K1-Y3	462292		7.04853e+12
K1-Z2	462546		5.76885e+12
K1-Z3	462546		5.80545e+12
K1-[2	462757		4.80775e+12
K1-[3	462758		4.8384e+12
K1-\2	462934		4.04889e+12
K1-\3	462935		4.07481e+12
K1-]2	463084		-nan
K1-]3	463085		3.46385e+12
K1-^2	463212		-nan
K1-^3	463212		-nan
L1-M2	64797.9		1.35675e+14
L1-M3	64876.9		1.34662e+14
L1-N2	87915.8		5.75874e+13
L1-N3	87949.1		5.73543e+13
L1-O2	98600.6		2.92963e+13
L1-O3	98617.6		2.92024e+13
L1-P2	104394		1.68452e+13
L1-P3	104404		1.68018e+13
L1-Q2	107876		1.05354e+13
L1-Q3	107882		1.0513e+13
L1-R2	110124		6.99881e+12
L1-R3	110128		6.98609e+12
L1-S2	111654		4.86257e+12
L1-S3	111657		4.85482e+12
L1-T2	111636		3.57823e+12
L1-T3	111638		3.57302e+12
L1-U2	112458		2.68629e+12
L1-U3	112460		2.68275e+12
L1-V2	113084		2.06787e+12
L1-V3	113085		2.06537e+12
L1-W2	113571		1.62564e+12
L1-W3	113572		1.62382e+12
L1-X2	113957		1.30106e+12
L1-X3	113958		1.2997e+12
L1-Y2	114269		1.05747e+12
L1-Y3	114269		1.05643e+12
L1-Z2	114524		8.71092e+11
L1-Z3	114524		8.70279e+11
L1-[2	114735		7.26069e+11
L1-[3	114735		7.25424e+11
L1-\2	114912		6.11537e+11
L1-\3	114912		6.11017e+11
L1-]2	115062		-nan
L1-]3	115062		5.1946e+11
L1-^2	115190		-nan
L1-^3	115190		-nan
L2-L1	1366.05		3.37163e+09
L2-M1	66566		1.10733e+13
L2-M4	66270.2		3.19792e+14
L2-N1	89450.8		4.5566e+12
L2-N4	89327.4		1.0231e+14
L2-O1	100053		2.27909e+12
L2-O4	99990.6		4.67647e+13
L2-P1	105809		1.29889e+12
L2-P4	105774		2.54936e+13
L2-Q1	109272		8.08179e+11
L2-Q4	109252		1.54636e+13
L2-R1	111510		5.35148e+11
L2-R4	111498		1.00769e+13
