# Z = 6, A = 12 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
K1-L2	75252.9		1.66846e+14
K1-L3	75265		1.66793e+14
K1-M2	89214.4		4.44362e+13
K1-M3	89218		4.44655e+13
K1-N2	94097		1.80943e+13
K1-N3	94098.5		1.81098e+13
K1-O2	96354.5		9.10662e+12
K1-O3	96355.3		9.11547e+12
K1-P2	97578.1		5.20913e+12
K1-P3	97578.5		5.21455e+12
K1-Q2	98312.5		3.24387e+12
K1-Q3	98312.8		3.2474e+12
K1-R2	98785.4		2.14351e+12
K1-R3	98785.6		2.14591e+12
K1-S2	99105.3		1.47807e+12
K1-S3	99105.5		1.47976e+12
K1-T2	99016.7		1.11264e+12
K1-T3	99016.8		1.11393e+12
K1-U2	99190.9		8.34949e+11
K1-U3	99191		8.35937e+11
K1-V2	99323.4		6.42543e+11
K1-V3	99323.4		6.43312e+11
K1-W2	99426.4		5.05022e+11
K1-W3	99426.5		5.05632e+11
K1-X2	99508.2		4.04123e+11
K1-X3	99508.3		4.04615e+11
K1-Y2	99574.2		3.28419e+11
K1-Y3	99574.3		3.28821e+11
K1-Z2	99628.2		2.70508e+11
K1-Z3	99628.3		2.70842e+11
K1-[2	99673		2.25455e+11
K1-[3	99673		2.25735e+11
K1-\2	99710.5		1.89879e+11
K1-\3	99710.5		1.90116e+11
K1-]2	99742.2		-nan
K1-]3	99742.3		1.61615e+11
K1-^2	99769.3		-nan
K1-^3	99769.4		-nan
L1-M2	13934.3		5.992e+12
L1-M3	13937.8		5.98184e+12
L1-N2	18816.8		2.57513e+12
L1-N3	18818.3		2.57308e+12
L1-O2	21074.3		1.31556e+12
L1-O3	21075.1		1.31429e+12
L1-P2	22297.9		7.5736e+11
L1-P3	22298.4		7.5669e+11
L1-Q2	23032.4		4.73214e+11
L1-Q3	23032.6		4.72846e+11
L1-R2	23505.2		3.13315e+11
L1-R3	23505.4		3.13098e+11
L1-S2	23825.2		2.16322e+11
L1-S3	23825.3		2.16187e+11
L1-T2	23736.5		1.61084e+11
L1-T3	23736.6		1.60993e+11
L1-U2	23910.7		1.20972e+11
L1-U3	23910.8		1.20909e+11
L1-V2	24043.2		9.31477e+10
L1-V3	24043.2		9.31024e+10
L1-W2	24146.3		7.32431e+10
L1-W3	24146.3		7.32095e+10
L1-X2	24228.1		5.86295e+10
L1-X3	24228.1		5.86039e+10
L1-Y2	24294		4.76592e+10
L1-Y3	24294.1		4.76393e+10
L1-Z2	24348		3.9264e+10
L1-Z3	24348.1		3.92482e+10
L1-[2	24392.8		3.27305e+10
L1-[3	24392.8		3.27178e+10
L1-\2	24430.3		2.75699e+10
L1-\3	24430.3		2.75595e+10
L1-]2	24462.1		-nan
L1-]3	24462.1		2.34311e+10
L1-^2	24489.2		-nan
L1-^3	24489.2		-nan
L2-L1	27.2743		128105
L2-M1	13969.4		5.54156e+11
L2-M4	13969.2		1.43497e+13
L2-N1	18847.3		2.2639e+11
L2-N4	18847.4		4.5819e+12
L2-O1	21103.1		1.12926e+11
L2-O4	21103.5		2.09222e+12
L2-P1	22325.9		6.42102e+10
L2-P4	22326.6		1.13903e+12
L2-Q1	23060		3.98298e+10
L2-Q4	23060.8		6.89247e+11
L2-R1	23532.6		2.62502e+10
L2-R4	23533.5		4.47273e+11
L2-S1	23852.4		1.80684e+10
L2-S4	23853.4		3.04704e+11
L2-T1	23763.8		1.34885e+10
L2-T4	23763.9		2.24634e+11
L2-U1	23938		1.01126e+10
L2-U4	23938.1		1.67497e+11
L2-V1	24070.4		7.77663e+09
L2-V4	24070.5		1.28277e+11
L2-W1	24173.5		6.10876e+09
L2-W4	24173.6		1.00445e+11
L2-X1	24255.3		4.88607e+09
L2-X4	24255.4		8.01391e+10
L2-Y1	24321.3		3.9693e+09
L2-Y4	24321.3		6.49714e+10
L2-Z1	24375.3		3.2684e+09
L2-Z4	24375.3		5.34107e+10
L2-[1	24420.1		2.72337e+09
L2-[4	24420.1		4.44434e+10
L2-\1	24457.6		2.29315e+09
L2-\4	24457.6		3.73799e+10
L2-]1	24489.3		-nan
L2-]4	24489.3		3.17399e+10
L2-^1	24516.4		-nan
L2-^4	24516.4		-nan
L3-L1	15.185		44258.9
L3-M1	13957.3		1.11273e+12
L3-M4	13957.2		2.86709e+12
L3-M5	13958.3		1.72051e+13
L3-N1	18835.2		4.54258e+11
L3-N4	18835.4		9.14694e+11
L3-N5	18835.9		5.49176e+12
L3-O1	21091		2.26762e+11
L3-O4	21091.5		4.17653e+11
L3-O5	21091.7		2.50695e+12
L3-P1	22313.8		1.28956e+11
L3-P4	22314.5		2.27342e+11
L3-P5	22314.6		1.36473e+12
L3-Q1	23047.9		7.99911e+10
L3-Q4	23048.7		1.37552e+11
L3-Q5	23048.8		8.25805e+11
L3-R1	23520.5		5.27168e+10
L3-R4	23521.4		8.92541e+10
L3-R5	23521.5		5.35888e+11
L3-S1	23840.3		3.62843e+10
L3-S4	23841.3		6.08005e+10
L3-S5	23841.3		3.65072e+11
L3-T1	23751.7		2.70855e+10
L3-T4	23751.8		4.4821e+10
L3-T5	23751.9		2.69139e+11
L3-U1	23925.9		2.0306e+10
L3-U4	23926		3.34195e+10
L3-U5	23926		2.00682e+11
L3-V1	24058.4		1.5615e+10
