# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
]1-]3	511.514		nan
]1-^2	4868.71		nan
]1-^3	5306.86		nan
]1-_2	9053.31		nan
]1-_3	9431.48		nan
]1-`2	12676.2		nan
]1-`3	13004.9		nan
]1-a2	15833.6		nan
]1-a3	16121		nan
]1-b2	18601.9		nan
]1-b3	18854.7		nan
]1-c2	21042.5		nan
]1-c3	21266.1		nan
]1-d2	23205.2		nan
]1-d3	23403.8		nan
]1-e2	25130.7		nan
]1-e3	25307.9		nan
]1-f2	26852.3		nan
]1-f3	27011.1		nan
]1-g2	28397.9		nan
]1-g3	28540.8		nan
]1-h2	29790.6		nan
]1-h3	29919.7		nan
]1-i2	31050.1		nan
]1-i3	31167		nan
]1-j2	32192.7		nan
]1-j3	32298.9		nan
]1-k2	33232.4		nan
]1-k3	33329.3		nan
]1-l2	34181.4		nan
]1-l3	34269.9		nan
]1-m2	35049.7		nan
]1-m3	35130.9		nan
]1-n2	35846.4		nan
]1-n3	35920.9		nan
]1-o2	36579.1		nan
]1-o3	36647.7		nan
]1-p2	37254.4		nan
]1-p3	37317.7		nan
]1-q2	37878.2		nan
]1-q3	37936.8		nan
]1-r2	38455.7		nan
]1-r3	38509.9		nan
]2-]4	511.514		nan
]2-]5	661.222		nan
]2-^1	4868.71		nan
]2-^4	5306.86		nan
]2-^5	5435.16		nan
]2-_1	9053.31		nan
]2-_4	9431.48		nan
]2-_5	9542.27		nan
]2-`1	12676.2		nan
]2-`4	13004.9		nan
]2-`5	13101.2		nan
]2-a1	15833.6		nan
]2-a4	16121		nan
]2-a5	16205.3		nan
]2-b1	18601.9		nan
]2-b4	18854.7		nan
]2-b5	18928.8		nan
]2-c1	21042.5		nan
]2-c4	21266.1		nan
]2-c5	21331.6		nan
]2-d1	23205.2		nan
]2-d4	23403.8		nan
]2-d5	23462.1		nan
]2-e1	25130.7		nan
]2-e4	25307.9		nan
]2-e5	25359.9		nan
]2-f1	26852.3		nan
]2-f4	27011.1		nan
]2-f5	27057.8		nan
]2-g1	28397.9		nan
]2-g4	28540.8		nan
]2-g5	28582.7		nan
]2-h1	29790.6		nan
]2-h4	29919.7		nan
]2-h5	29957.6		nan
]2-i1	31050.1		nan
]2-i4	31167		nan
]2-i5	31201.3		nan
]2-j1	32192.7		nan
]2-j4	32298.9		nan
]2-j5	32330.1		nan
]2-k1	33232.4		nan
]2-k4	33329.3		nan
]2-k5	33357.7		nan
]2-l1	34181.4		nan
]2-l4	34269.9		nan
]2-l5	34295.9		nan
]2-m1	35049.7		nan
]2-m4	35130.9		nan
]2-m5	35154.7		nan
]2-n1	35846.4		nan
]2-n4	35920.9		nan
]2-n5	35942.9		nan
]2-o1	36579.1		nan
]2-o4	36647.7		nan
]2-o5	36667.9		nan
]2-p1	37254.4		nan
]2-p4	37317.7		nan
]2-p5	37336.4		nan
]2-q1	37878.2		nan
]2-q4	37936.8		nan
]2-q5	37954		nan
]2-r1	38455.7		nan
]2-r4	38509.9		nan
]2-r5	38525.9		nan
]3-]5	149.707		1.53546e+09
]3-^1	4357.19		-nan
]3-^4	4795.35		-nan
]3-^5	4923.65		2.94169e+12
]3-_1	8541.8		4.69856e+12
]3-_4	8919.97		-nan
]3-_5	9030.76		-nan
]3-`1	12164.7		-nan
]3-`4	12493.3		4.2878e+11
]3-`5	12589.7		-nan
]3-a1	15322.1		-nan
]3-a4	15609.5		-nan
]3-a5	15693.8		1.97933e+12
]3-b1	18090.4		-nan
]3-b4	18343.2		-nan
]3-b5	18417.3		-nan
]3-c1	20531		2.23231e+12
]3-c4	20754.5		-nan
]3-c5	20820.1		-nan
]3-d1	22693.7		-nan
]3-d4	22892.3		2.44395e+11
]3-d5	22950.6		-nan
]3-e1	24619.1		1.68014e+12
]3-e4	24796.4		-nan
]3-e5	24848.4		1.17278e+12
]3-f1	26340.8		-nan
]3-f4	26499.6		1.87648e+11
]3-f5	26546.3		-nan
]3-g1	27886.3		1.29344e+12
]3-g4	28029.3		-nan
]3-g5	28071.2		9.32847e+11
]3-h1	29279.1		-nan
]3-h4	29408.1		1.50026e+11
]3-h5	29446.1		-nan
]3-i1	30538.5		-nan
]3-i4	30655.4		-nan
]3-i5	30689.8		7.51345e+11
]3-j1	31681.1		9.29018e+11
]3-j4	31787.4		-nan
]3-j5	31818.6		-nan
]3-k1	32720.9		8.40922e+11
]3-k4	32817.8		1.13399e+11
]3-k5	32846.2		-nan
]3-l1	33669.9		-nan
]3-l4	33758.4		1.03719e+11
]3-l5	33784.4		5.62905e+11
]3-m1	34538.2		-nan
]3-m4	34619.3		-nan
]3-m5	34643.2		5.15263e+11
]3-n1	35334.9		-nan
]3-n4	35409.4		-nan
]3-n5	35431.3		-nan
]3-o1	36067.6		-nan
]3-o4	36136.2		-nan
]3-o5	36156.4		-nan
]3-p1	36742.9		-nan
]3-p4	36806.2		-nan
]3-p5	36824.9		-nan
]3-q1	37366.7		-nan
]3-q4	37425.3		-nan
]3-q5	37442.5		-nan
]3-r1	37944.2		-nan
]3-r4	37998.4		-nan
]3-r5	38014.4		-nan
]4-]6	149.707		1.51813e+09
]4-^2	4357.19		-nan
]4-^3	4795.35		-nan
]4-^6	4923.65		3.39116e+12
]4-_2	8541.8		4.12901e+12
]4-_3	8919.97		-nan
]4-_6	9030.76		-nan
]4-`2	12164.7		-nan
]4-`3	12493.3		2.10325e+11
]4-`6	12589.7		-nan
]4-`7	12636.6		-nan
]4-a2	15322.1		-nan
]4-a3	15609.5		-nan
]4-a6	15693.8		2.32687e+12
]4-a7	15734.8		-nan
]4-b2	18090.4		-nan
]4-b3	18343.2		-nan
]4-b6	18417.3		-nan
]4-c2	20531		1.88075e+12
]4-c3	20754.5		-nan
]4-c6	20820.1		-nan
]4-c7	20852.1		-nan
]4-d2	22693.7		-nan
]4-d3	22892.3		1.06893e+11
]4-d6	22950.6		-nan
]4-d7	22979		-nan
]4-e2	24619.1		1.41695e+12
]4-e3	24796.4		-nan
]4-e6	24848.4		1.40411e+12
]4-e7	24873.8		-nan
]4-f2	26340.8		-nan
]4-f3	26499.6		8.38562e+10
]4-f6	26546.3		-nan
]4-g2	27886.3		1.08882e+12
]4-g3	28029.3		-nan
]4-g6	28071.2		1.1144e+12
]4-g7	28091.7		-nan
]4-h2	29279.1		-nan
]4-h3	29408.1		6.49825e+10
]4-h6	29446.1		-nan
]4-i2	30538.5		-nan
]4-i3	30655.4		-nan
]4-i6	30689.8		9.05512e+11
]4-i7	30706.5		-nan
]4-j2	31681.1		7.66943e+11
]4-j3	31787.4		-nan
]4-j6	31818.6		-nan
]4-k2	32720.9		6.91023e+11
]4-k3	32817.8		4.55168e+10
]4-k6	32846.2		-nan
]4-k7	32860.1		-nan
]4-l2	33669.9		-nan
]4-l3	33758.4		4.10543e+10
]4-l6	33784.4		6.85257e+11
]4-l7	33797.1		-nan
]4-m2	34538.2		-nan
]4-m3	34619.3		-nan
]4-m6	34643.2		6.27701e+11
]4-n2	35334.9		-nan
]4-n3	35409.4		-nan
]4-n6	35431.3		-nan
]4-o2	36067.6		-nan
]4-o3	36136.2		-nan
]4-o6	36156.4		-nan
]4-o7	36166.2		-nan
]4-p2	36742.9		-nan
]4-p3	36806.2		-nan
]4-p6	36824.9		-nan
]4-p7	36833.9		-nan
]4-q2	37366.7		-nan
]4-q3	37425.3		-nan
]4-q6	37442.5		-nan
]4-q7	37450.9		-nan
]4-r2	37944.2		-nan
]4-r3	37998.4		-nan
]4-r6	38014.4		-nan
]4-r7	38022.2		-nan
]5-]7	72.8623		1.87854e+08
]5-^2	4207.49		-nan
]5-^3	4645.64		-nan
]5-^6	4773.94		2.79375e+11
]5-^7	4836.39		3.90319e+12
]5-_3	8770.26		-nan
]5-_6	8881.05		-nan
]5-_7	8934.99		3.47693e+12
]5-`2	12015		-nan
]5-`3	12343.6		2.23449e+12
]5-`6	12440		-nan
]5-`7	12486.9		-nan
]5-a2	15172.4		-nan
]5-a3	15459.8		-nan
]5-a6	15544		1.77506e+11
]5-a7	15585.1		-nan
]5-b2	17940.7		-nan
]5-b3	18193.5		-nan
]5-b6	18267.6		-nan
]5-b7	18303.7		2.2541e+12
]5-c3	20604.8		-nan
]5-c6	20670.4		-nan
]5-c7	20702.4		-nan
]5-d2	22544		-nan
]5-d3	22742.6		1.13046e+12
]5-d6	22800.9		-nan
]5-d7	22829.3		-nan
]5-e3	24646.7		-nan
]5-e6	24698.7		1.06698e+11
]5-e7	24724.1		-nan
]5-f2	26191		-nan
]5-f3	26349.9		8.51703e+11
]5-f6	26396.5		-nan
]5-f7	26419.3		1.38757e+12
]5-g3	27879.6		-nan
]5-g6	27921.5		8.31868e+10
]5-g7	27942		-nan
]5-h2	29129.4		-nan
]5-h3	29258.4		6.62208e+11
]5-h6	29296.3		-nan
]5-h7	29314.8		1.10979e+12
]5-i2	30388.8		-nan
]5-i3	30505.7		-nan
]5-i6	30540.1		6.83944e+10
]5-i7	30556.8		-nan
]5-j3	31637.7		-nan
]5-j6	31668.9		-nan
]5-j7	31684.1		9.03545e+11
]5-k3	32668.1		4.81694e+11
]5-k6	32696.5		-nan
]5-k7	32710.4		-nan
]5-l2	33520.1		-nan
]5-l3	33608.7		4.37087e+11
]5-l6	33634.7		5.2522e+10
]5-l7	33647.4		-nan
]5-m2	34388.5		-nan
]5-m3	34469.6		-nan
]5-m6	34493.5		4.80821e+10
]5-m7	34505.1		6.85875e+11
]5-n2	35185.2		-nan
]5-n3	35259.7		-nan
]5-n6	35281.6		-nan
]5-n7	35292.3		6.297e+11
]5-o2	35917.9		-nan
