# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
K1-L2	5.55973e+06		1.60292e+18
K1-L3	5.72672e+06		1.74645e+18
K1-M2	8.03462e+06		2.36522e+17
K1-M3	8.07791e+06		2.97762e+17
K1-N2	8.9018e+06		8.10159e+16
K1-N3	8.91919e+06		1.06235e+17
K1-O2	9.2497e+06		1.43163e+16
K1-O3	9.27893e+06		4.33588e+16
K1-P2	9.4831e+06		7.36027e+15
K1-P3	9.4999e+06		2.37469e+16
K1-Q2	9.6223e+06		4.30738e+15
K1-Q3	9.63282e+06		1.4457e+16
K1-R2	9.71188e+06		2.74811e+15
K1-R3	9.71889e+06		9.4704e+15
K1-S2	9.77288e+06		1.86498e+15
K1-S3	9.77778e+06		6.54766e+15
K1-T2	9.81627e+06		1.32581e+15
K1-T3	9.81983e+06		4.71867e+15
K1-U2	9.84822e+06		9.77304e+14
K1-U3	9.85089e+06		3.51446e+15
K1-V2	9.87244e+06		7.41692e+14
K1-V3	9.87449e+06		2.68875e+15
K1-W2	9.89122e+06		5.76513e+14
K1-W3	9.89283e+06		2.10339e+15
K1-X2	9.90608e+06		4.57187e+14
K1-X3	9.90736e+06		1.67673e+15
K1-Y2	9.91803e+06		3.68784e+14
K1-Y3	9.91908e+06		1.35833e+15
K1-Z2	9.9278e+06		3.01868e+14
K1-Z3	9.92866e+06		1.11585e+15
K1-[2	9.93588e+06		2.50265e+14
K1-[3	9.93659e+06		9.2791e+14
K1-\2	9.94264e+06		2.09822e+14
K1-\3	9.94324e+06		7.7998e+14
K1-]2	9.94835e+06		-nan
K1-]3	9.94886e+06		6.61939e+14
K1-^2	9.95321e+06		-nan
K1-^3	9.95365e+06		-nan
K1-_2	9.9574e+06		1.307e+14
K1-_3	9.95778e+06		-nan
K1-`2	9.96102e+06		-nan
K1-`3	9.96135e+06		4.2453e+14
K1-a2	9.96418e+06		-nan
K1-a3	9.96447e+06		-nan
K1-b2	9.96695e+06		-nan
K1-b3	9.9672e+06		-nan
K1-c2	9.96939e+06		7.67344e+13
K1-c3	9.96961e+06		-nan
K1-d2	9.97155e+06		-nan
K1-d3	9.97175e+06		2.5619e+14
K1-e2	9.97348e+06		6.07052e+13
K1-e3	9.97365e+06		-nan
K1-f2	9.9752e+06		-nan
K1-f3	9.97536e+06		2.04826e+14
K1-g2	9.97674e+06		4.88525e+13
K1-g3	9.97689e+06		-nan
K1-h2	9.97814e+06		-nan
K1-h3	9.97827e+06		1.66332e+14
K1-i2	9.9794e+06		-nan
K1-i3	9.97951e+06		-nan
K1-j2	9.98054e+06		3.62351e+13
K1-j3	9.98065e+06		-nan
K1-k2	9.98158e+06		3.30076e+13
K1-k3	9.98168e+06		1.24786e+14
K1-l2	9.98253e+06		-nan
K1-l3	9.98262e+06		1.14047e+14
K1-m2	9.9834e+06		-nan
K1-m3	9.98348e+06		-nan
K1-n2	9.98419e+06		-nan
K1-n3	9.98427e+06		-nan
K1-o2	9.98493e+06		-nan
K1-o3	9.98499e+06		-nan
K1-p2	9.9856e+06		-nan
K1-p3	9.98566e+06		-nan
K1-q2	9.98622e+06		-nan
K1-q3	9.98628e+06		-nan
K1-r2	9.9868e+06		-nan
K1-r3	9.98686e+06		-nan
L1-M2	1.38413e+06		1.47671e+17
L1-M3	1.42742e+06		1.50899e+17
L1-N2	2.25131e+06		4.00499e+16
L1-N3	2.2687e+06		4.46578e+16
L1-O2	2.5992e+06		9.03755e+15
L1-O3	2.62844e+06		1.73969e+16
L1-P2	2.83261e+06		4.44032e+15
L1-P3	2.84941e+06		9.22305e+15
L1-Q2	2.97181e+06		2.53613e+15
L1-Q3	2.98233e+06		5.51541e+15
L1-R2	3.06139e+06		1.59446e+15
L1-R3	3.0684e+06		3.57345e+15
L1-S2	3.12239e+06		1.07174e+15
L1-S3	3.12729e+06		2.45268e+15
L1-T2	3.16578e+06		7.56859e+14
L1-T3	3.16934e+06		1.75858e+15
L1-U2	3.19773e+06		5.55246e+14
L1-U3	3.2004e+06		1.30495e+15
L1-V2	3.22194e+06		4.19883e+14
L1-V3	3.224e+06		9.95586e+14
L1-W2	3.24073e+06		3.25481e+14
L1-W3	3.24234e+06		7.77175e+14
L1-X2	3.25559e+06		2.5756e+14
L1-X3	3.25687e+06		6.18487e+14
L1-Y2	3.26754e+06		2.07401e+14
L1-Y3	3.26859e+06		5.00363e+14
L1-Z2	3.27731e+06		1.69532e+14
L1-Z3	3.27817e+06		4.1059e+14
L1-[2	3.28539e+06		1.4039e+14
L1-[3	3.2861e+06		3.41126e+14
L1-\2	3.29215e+06		1.17591e+14
L1-\3	3.29275e+06		2.86526e+14
L1-]2	3.29786e+06		-nan
L1-]3	3.29837e+06		2.43008e+14
L1-^2	3.30272e+06		-nan
L1-^3	3.30316e+06		-nan
L1-_2	3.30691e+06		7.30968e+13
L1-_3	3.30729e+06		-nan
L1-`2	3.31053e+06		-nan
L1-`3	3.31086e+06		1.55631e+14
L1-a2	3.31369e+06		-nan
L1-a3	3.31398e+06		-nan
L1-b2	3.31646e+06		-nan
L1-b3	3.31671e+06		-nan
L1-c2	3.3189e+06		4.28436e+13
L1-c3	3.31912e+06		-nan
L1-d2	3.32106e+06		-nan
L1-d3	3.32126e+06		9.38081e+13
L1-e2	3.32299e+06		3.38747e+13
L1-e3	3.32316e+06		-nan
L1-f2	3.32471e+06		-nan
L1-f3	3.32487e+06		7.497e+13
L1-g2	3.32625e+06		2.72483e+13
L1-g3	3.3264e+06		-nan
L1-h2	3.32765e+06		-nan
L1-h3	3.32778e+06		6.08607e+13
L1-i2	3.32891e+06		-nan
L1-i3	3.32902e+06		-nan
L1-j2	3.33005e+06		2.02001e+13
L1-j3	3.33015e+06		-nan
L1-k2	3.33109e+06		1.83982e+13
L1-k3	3.33119e+06		4.56414e+13
L1-l2	3.33204e+06		-nan
L1-l3	3.33213e+06		4.17094e+13
L1-m2	3.33291e+06		-nan
L1-m3	3.33299e+06		-nan
L1-n2	3.3337e+06		-nan
L1-n3	3.33378e+06		-nan
L1-o2	3.33444e+06		-nan
L1-o3	3.3345e+06		-nan
L1-p2	3.33511e+06		-nan
L1-p3	3.33517e+06		-nan
L1-q2	3.33573e+06		-nan
L1-q3	3.33579e+06		-nan
L1-r2	3.33631e+06		-nan
L1-r3	3.33637e+06		-nan
L2-L1	1.09076e+06		3.73422e+16
L2-M1	2.81126e+06		3.57835e+15
L2-M4	2.45179e+06		4.34014e+17
L2-N1	3.48727e+06		1.31954e+15
L2-N4	3.33028e+06		1.31018e+17
L2-O1	3.68996e+06		7.79013e+15
L2-O4	3.7192e+06		5.82054e+16
L2-P1	3.92337e+06		4.38608e+15
L2-P4	3.94016e+06		3.12498e+16
L2-Q1	4.06257e+06		2.71148e+15
L2-Q4	4.07308e+06		1.88126e+16
L2-R1	4.15214e+06		1.79251e+15
L2-R4	4.15916e+06		1.22379e+16
L2-S1	4.21314e+06		1.24642e+15
L2-S4	4.21805e+06		8.42183e+15
L2-T1	4.25653e+06		9.01601e+14
L2-T4	4.2601e+06		6.04956e+15
L2-U1	4.28849e+06		6.73181e+14
L2-U4	4.29116e+06		4.49502e+15
L2-V1	4.3127e+06		5.15886e+14
L2-V4	4.31475e+06		3.43277e+15
L2-W1	4.33148e+06		4.04039e+14
L2-W4	4.33309e+06		2.68174e+15
L2-X1	4.34634e+06		3.22337e+14
L2-X4	4.34763e+06		2.13544e+15
L2-Y1	4.3583e+06		2.61267e+14
L2-Y4	4.35934e+06		1.72842e+15
L2-Z1	4.36807e+06		2.14705e+14
L2-Z4	4.36892e+06		1.41887e+15
L2-[1	4.37614e+06		1.78584e+14
L2-[4	4.37686e+06		1.1792e+15
L2-\1	4.3829e+06		1.50134e+14
L2-\4	4.3835e+06		9.90725e+14
L2-]1	4.38861e+06		-nan
L2-]4	4.38912e+06		8.40442e+14
L2-^1	4.39348e+06		-nan
L2-^4	4.39392e+06		-nan
L2-_1	4.39766e+06		9.40809e+13
L2-_4	4.39804e+06		-nan
L2-_5	4.39815e+06		-nan
L2-`1	4.40129e+06		-nan
L2-`4	4.40162e+06		5.38519e+14
L2-`5	4.40171e+06		-nan
L2-a1	4.40445e+06		-nan
L2-a4	4.40473e+06		-nan
L2-b1	4.40721e+06		-nan
L2-b4	4.40747e+06		-nan
L2-b5	4.40754e+06		-nan
L2-c1	4.40965e+06		5.5504e+13
L2-c4	4.40988e+06		-nan
L2-c5	4.40994e+06		-nan
L2-d1	4.41182e+06		-nan
L2-d4	4.41202e+06		3.24731e+14
L2-d5	4.41207e+06		-nan
L2-e1	4.41374e+06		4.39825e+13
L2-e4	4.41392e+06		-nan
L2-f1	4.41546e+06		-nan
L2-f4	4.41562e+06		2.59557e+14
L2-f5	4.41567e+06		-nan
L2-g1	4.41701e+06		3.54418e+13
L2-g4	4.41715e+06		-nan
L2-h1	4.4184e+06		-nan
L2-h4	4.41853e+06		2.10733e+14
L2-h5	4.41857e+06		-nan
L2-i1	4.41966e+06		-nan
L2-i4	4.41978e+06		-nan
L2-j1	4.4208e+06		2.63285e+13
L2-j4	4.42091e+06		-nan
L2-j5	4.42094e+06		-nan
L2-k1	4.42184e+06		2.39935e+13
L2-k4	4.42194e+06		1.58057e+14
L2-k5	4.42197e+06		-nan
L2-l1	4.42279e+06		-nan
L2-l4	4.42288e+06		1.44445e+14
L2-m1	4.42366e+06		-nan
L2-m4	4.42374e+06		-nan
L2-n1	4.42446e+06		-nan
L2-n4	4.42453e+06		-nan
L2-n5	4.42455e+06		-nan
L2-o1	4.42519e+06		-nan
L2-o4	4.42526e+06		-nan
L2-o5	4.42528e+06		-nan
L2-p1	4.42587e+06		-nan
L2-p4	4.42593e+06		-nan
L2-p5	4.42595e+06		-nan
L2-q1	4.42649e+06		-nan
L2-q4	4.42655e+06		-nan
L2-q5	4.42657e+06		-nan
L2-r1	4.42707e+06		-nan
L2-r4	4.42712e+06		-nan
L2-r5	4.42714e+06		-nan
L3-L1	923770		5.02951e+16
L3-M1	2.64428e+06		2.57619e+15
L3-M4	2.2848e+06		7.76497e+16
L3-M5	2.3212e+06		4.82107e+17
L3-N1	3.32029e+06		8.52338e+14
L3-N4	3.16329e+06		2.18557e+16
L3-N5	3.17845e+06		1.45913e+17
L3-O1	3.52297e+06		1.69664e+16
L3-O4	3.55221e+06		9.38242e+15
L3-O5	3.56053e+06		6.49974e+16
L3-P1	3.75638e+06		9.52643e+15
L3-P4	3.77318e+06		4.96524e+15
L3-P5	3.77799e+06		3.50071e+16
L3-Q1	3.89558e+06		5.88017e+15
L3-Q4	3.9061e+06		2.96401e+15
L3-Q5	3.90912e+06		2.11227e+16
L3-R1	3.98516e+06		3.88358e+15
L3-R4	3.99217e+06		1.91781e+15
L3-R5	3.99419e+06		1.37641e+16
L3-S1	4.04616e+06		2.69875e+15
L3-S4	4.05106e+06		1.31499e+15
L3-S5	4.05248e+06		9.48452e+15
L3-T1	4.08955e+06		1.95128e+15
L3-T4	4.09311e+06		9.42151e+14
L3-T5	4.09414e+06		6.81998e+15
L3-U1	4.1215e+06		1.45646e+15
L3-U4	4.12417e+06		6.98723e+14
L3-U5	4.12495e+06		5.07173e+15
L3-V1	4.14571e+06		1.11587e+15
L3-V4	4.14777e+06		5.32839e+14
L3-V5	4.14836e+06		3.8759e+15
L3-W1	4.1645e+06		8.73786e+14
L3-W4	4.16611e+06		4.15799e+14
L3-W5	4.16657e+06		3.02969e+15
L3-X1	4.17935e+06		6.96993e+14
L3-X4	4.18064e+06		3.30806e+14
L3-X5	4.18102e+06		2.41372e+15
L3-Y1	4.19131e+06		5.64876e+14
L3-Y4	4.19236e+06		2.67564e+14
L3-Y5	4.19266e+06		1.9545e+15
L3-Z1	4.20108e+06		4.64161e+14
L3-Z4	4.20194e+06		2.19518e+14
L3-Z5	4.20219e+06		1.60506e+15
L3-[1	4.20916e+06		3.86043e+14
L3-[4	4.20987e+06		1.82351e+14
