# Z = 53, A = 127 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
K1-L2	3.66763e+06		6.0414e+17
K1-L3	3.72278e+06		6.20585e+17
K1-M2	4.80744e+06		1.20629e+17
K1-M3	4.82271e+06		1.3357e+17
K1-N2	5.20392e+06		4.49212e+16
K1-N3	5.21019e+06		5.09246e+16
K1-O2	5.3865e+06		2.17174e+16
K1-O3	5.38966e+06		2.48928e+16
K1-P2	5.48525e+06		1.21713e+16
K1-P3	5.48706e+06		1.40382e+16
K1-Q2	5.53472e+06		7.06077e+15
K1-Q3	5.5366e+06		8.76555e+15
K1-R2	5.57353e+06		4.65763e+15
K1-R3	5.57479e+06		5.8099e+15
K1-S2	5.60006e+06		3.23564e+15
K1-S3	5.60095e+06		4.0501e+15
K1-T2	5.619e+06		2.33983e+15
K1-T3	5.61964e+06		2.93644e+15
K1-U2	5.63298e+06		1.74715e+15
K1-U3	5.63347e+06		2.1971e+15
K1-V2	5.6436e+06		1.33927e+15
K1-V3	5.64397e+06		1.6869e+15
K1-W2	5.65185e+06		1.0493e+15
K1-W3	5.65215e+06		1.32341e+15
K1-X2	5.65839e+06		8.37474e+14
K1-X3	5.65863e+06		1.0574e+15
K1-Y2	5.66367e+06		6.7911e+14
K1-Y3	5.66385e+06		8.58242e+14
K1-Z2	5.66798e+06		5.58334e+14
K1-Z3	5.66813e+06		7.06162e+14
K1-[2	5.67154e+06		4.6461e+14
K1-[3	5.67167e+06		5.88022e+14
K1-\2	5.67453e+06		3.90764e+14
K1-\3	5.67464e+06		4.94852e+14
K1-]2	5.67706e+06		-nan
K1-]3	5.67715e+06		4.20383e+14
K1-^2	5.67922e+06		-nan
K1-^3	5.6793e+06		-nan
L1-M2	800896		3.9189e+16
L1-M3	816165		3.8371e+16
L1-N2	1.19738e+06		1.31383e+16
L1-N3	1.20365e+06		1.35123e+16
L1-O2	1.37996e+06		6.14898e+15
L1-O3	1.38312e+06		6.43674e+15
L1-P2	1.47871e+06		3.39441e+15
L1-P3	1.48052e+06		3.58681e+15
L1-Q2	1.52818e+06		1.99367e+15
L1-Q3	1.53006e+06		2.20844e+15
L1-R2	1.56699e+06		1.30736e+15
L1-R3	1.56825e+06		1.45745e+15
L1-S2	1.59352e+06		9.04652e+14
L1-S3	1.5944e+06		1.01305e+15
L1-T2	1.61246e+06		6.5239e+14
L1-T3	1.6131e+06		7.32997e+14
L1-U2	1.62644e+06		4.86163e+14
L1-U3	1.62692e+06		5.47625e+14
L1-V2	1.63706e+06		3.72103e+14
L1-V3	1.63743e+06		4.19987e+14
L1-W2	1.64531e+06		2.91198e+14
L1-W3	1.6456e+06		3.29203e+14
L1-X2	1.65185e+06		2.322e+14
L1-X3	1.65209e+06		2.62853e+14
L1-Y2	1.65712e+06		1.88153e+14
L1-Y3	1.65731e+06		2.13228e+14
L1-Z2	1.66143e+06		1.54598e+14
L1-Z3	1.66159e+06		1.75365e+14
L1-[2	1.665e+06		1.28583e+14
L1-[3	1.66513e+06		1.45973e+14
L1-\2	1.66799e+06		1.08101e+14
L1-\3	1.6681e+06		1.22806e+14
L1-]2	1.67052e+06		-nan
L1-]3	1.67061e+06		1.04298e+14
L1-^2	1.67268e+06		-nan
L1-^3	1.67276e+06		-nan
L2-L1	338911		2.71509e+15
L2-M1	1.24261e+06		8.11469e+12
L2-M4	1.14902e+06		9.1934e+16
L2-N1	1.58015e+06		8.94038e+12
L2-N4	1.53989e+06		2.95813e+16
L2-O1	1.74146e+06		5.42757e+12
L2-O4	1.72065e+06		1.3518e+16
L2-P1	1.83073e+06		3.34346e+12
L2-P4	1.81863e+06		7.36694e+15
L2-Q1	1.86709e+06		3.29187e+14
L2-Q4	1.86897e+06		4.48138e+15
L2-R1	1.9059e+06		2.18799e+14
L2-R4	1.90716e+06		2.93586e+15
L2-S1	1.93243e+06		1.52779e+14
L2-S4	1.93332e+06		2.03056e+15
L2-T1	1.95137e+06		1.10881e+14
L2-T4	1.95201e+06		1.46404e+15
L2-U1	1.96535e+06		8.30153e+13
L2-U4	1.96583e+06		1.09096e+15
L2-V1	1.97597e+06		6.37626e+13
L2-V4	1.97634e+06		8.35039e+14
L2-W1	1.98422e+06		5.00349e+13
L2-W4	1.98452e+06		6.53541e+14
L2-X1	1.99076e+06		3.99832e+13
L2-X4	1.991e+06		5.21193e+14
L2-Y1	1.99603e+06		3.24546e+13
L2-Y4	1.99622e+06		4.22385e+14
L2-Z1	2.00034e+06		2.67042e+13
L2-Z4	2.0005e+06		3.47107e+14
L2-[1	2.00391e+06		2.22364e+13
L2-[4	2.00404e+06		2.88741e+14
L2-\1	2.0069e+06		1.87125e+13
L2-\4	2.00701e+06		2.42782e+14
L2-]1	2.00943e+06		-nan
L2-]4	2.00952e+06		2.06097e+14
L2-^1	2.01159e+06		-nan
L2-^4	2.01167e+06		-nan
L3-L1	283766		3.41654e+15
L3-M1	1.18747e+06		2.30678e+14
L3-M4	1.09388e+06		1.72608e+16
L3-M5	1.10141e+06		1.04905e+17
L3-N1	1.525e+06		1.28116e+14
L3-N4	1.48475e+06		5.31507e+15
L3-N5	1.48792e+06		3.32995e+16
L3-O1	1.68631e+06		6.95924e+13
L3-O4	1.6655e+06		2.38894e+15
L3-O5	1.66712e+06		1.5153e+16
L3-P1	1.77559e+06		4.1188e+13
L3-P4	1.76348e+06		1.29092e+15
L3-P5	1.76442e+06		8.24404e+15
L3-Q1	1.81194e+06		7.57458e+14
L3-Q4	1.81382e+06		7.81617e+14
L3-Q5	1.81441e+06		5.01036e+15
L3-R1	1.85075e+06		5.03075e+14
L3-R4	1.85201e+06		5.10448e+14
L3-R5	1.85241e+06		3.28117e+15
L3-S1	1.87729e+06		3.51097e+14
L3-S4	1.87817e+06		3.52296e+14
L3-S5	1.87845e+06		2.26897e+15
L3-T1	1.89622e+06		2.54722e+14
L3-T4	1.89687e+06		2.53624e+14
L3-T5	1.89707e+06		1.63581e+15
L3-U1	1.91021e+06		1.90657e+14
L3-U4	1.91069e+06		1.88783e+14
L3-U5	1.91084e+06		1.21892e+15
L3-V1	1.92083e+06		1.46412e+14
L3-V4	1.9212e+06		1.44377e+14
L3-V5	1.92131e+06		9.32991e+14
L3-W1	1.92908e+06		1.14873e+14
L3-W4	1.92937e+06		1.12923e+14
L3-W5	1.92946e+06		7.30222e+14
L3-X1	1.93562e+06		9.17846e+13
L3-X4	1.93585e+06		9.00089e+13
L3-X5	1.93593e+06		5.82366e+14
L3-Y1	1.94089e+06		7.44949e+13
L3-Y4	1.94108e+06		7.29147e+13
L3-Y5	1.94114e+06		4.7198e+14
L3-Z1	1.9452e+06		6.12909e+13
L3-Z4	1.94536e+06		5.98997e+13
L3-Z5	1.9454e+06		3.87881e+14
L3-[1	1.94877e+06		5.10331e+13
L3-[4	1.9489e+06		4.98135e+13
L3-[5	1.94894e+06		3.22673e+14
L3-\1	1.95176e+06		4.29434e+13
L3-\4	1.95187e+06		4.1875e+13
L3-\5	1.9519e+06		2.71325e+14
L3-]1	1.95428e+06		-nan
L3-]4	1.95438e+06		3.55405e+13
L3-]5	1.95441e+06		2.30337e+14
L3-^1	1.95644e+06		-nan
L3-^4	1.95652e+06		-nan
L3-^5	1.95655e+06		1.97219e+14
M1-N2	293680		6.49888e+15
M1-N3	299951		6.29594e+15
M1-O2	476257		2.75862e+15
M1-O3	479422		2.7807e+15
M1-P2	575006		1.47518e+15
M1-P3	576822		1.50874e+15
M1-Q2	624477		8.58119e+14
M1-Q3	626359		9.10575e+14
M1-R2	663289		5.57285e+14
M1-R3	664547		5.96661e+14
M1-S2	689823		3.83234e+14
M1-S3	690705		4.12807e+14
M1-T2	708759		2.75201e+14
M1-T3	709401		2.97726e+14
M1-U2	722742		2.04462e+14
M1-U3	723224		2.21915e+14
M1-V2	733361		1.56142e+14
M1-V3	733732		1.69895e+14
M1-W2	741613		1.21985e+14
M1-W3	741905		1.32992e+14
M1-X2	748154		9.71405e+13
M1-X3	748387		1.06077e+14
M1-Y2	753424		7.86302e+13
M1-Y3	753614		8.59775e+13
M1-Z2	757734		6.45521e+13
M1-Z3	757890		7.06624e+13
M1-[2	761303		5.36518e+13
M1-[3	761433		5.87858e+13
M1-\2	764292		4.50791e+13
M1-\3	764402		4.94328e+13
M1-]2	766820		-nan
M1-]3	766913		4.19662e+13
M1-^2	768977		-nan
M1-^3	769056		-nan
M2-M1	102803		4.61006e+14
M2-M4	9215.77		2.25562e+11
M2-N1	440342		2.04793e+13
M2-N4	400084		9.79306e+15
M2-O1	601652		1.60168e+13
M2-O4	580838		4.77707e+15
M2-P1	690926		1.0021e+13
M2-P4	678821		2.65084e+15
M2-Q1	727280		2.12986e+14
M2-Q4	729162		1.60868e+15
M2-R1	766092		1.40567e+14
M2-R4	767350		1.05913e+15
M2-S1	792626		9.76708e+13
M2-S4	793508		7.34721e+14
M2-T1	811562		7.06345e+13
M2-T4	812204		5.30769e+14
M2-U1	825545		5.27433e+13
M2-U4	826027		3.96045e+14
M2-V1	836164		4.04294e+13
M2-V4	836535		3.03436e+14
M2-W1	844416		3.16751e+13
M2-W4	844708		2.37657e+14
M2-X1	850956		2.52801e+13
M2-X4	851190		1.89636e+14
M2-Y1	856227		2.04991e+13
M2-Y4	856417		1.53753e+14
M2-Z1	860537		1.6853e+13
M2-Z4	860693		1.26396e+14
M2-[1	864106		1.40237e+13
M2-[4	864236		1.05173e+14
M2-\1	867095		1.17945e+13
M2-\4	867204		8.84542e+13
M2-]1	869623		-nan
M2-]4	869716		7.51036e+13
M2-^1	871780		-nan
M2-^4	871859		-nan
M3-M1	87534.7		5.99313e+14
M3-M5	1475.49		1.12539e+09
M3-N1	425074		1.36174e+14
M3-N4	384816		1.97636e+15
M3-N5	387988		1.16185e+16
M3-O1	586384		8.61668e+13
M3-O4	565570		9.27968e+14
M3-O5	567191		5.58604e+15
M3-P1	675658		5.18449e+13
M3-P4	663553		5.07279e+14
M3-P5	664488		3.08303e+15
M3-Q1	712012		4.84254e+14
M3-Q4	713894		3.05373e+14
M3-Q5	714485		1.86653e+15
M3-R1	750823		3.19162e+14
M3-R4	752082		2.00016e+14
M3-R5	752477		1.22741e+15
M3-S1	777358		2.21568e+14
M3-S4	778240		1.3828e+14
M3-S5	778518		8.50856e+14
M3-T1	796294		1.6014e+14
M3-T4	796936		9.9659e+13
M3-T5	797138		6.14396e+14
M3-U1	810277		1.19528e+14
M3-U4	810759		7.4236e+13
M3-U5	810911		4.58316e+14
M3-V1	820896		9.15945e+13
M3-V4	821267		5.68045e+13
M3-V5	821384		3.51081e+14
M3-W1	829148		7.17452e+13
M3-W4	829440		4.44469e+13
M3-W5	829532		2.7494e+14
M3-X1	835688		5.72504e+13
M3-X4	835922		3.54387e+13
M3-X5	835995		2.19368e+14
M3-Y1	840959		4.64171e+13
M3-Y4	841149		2.87153e+13
M3-Y5	841209		1.7785e+14
M3-Z1	845269		3.8157e+13
M3-Z4	845425		2.35943e+13
M3-Z5	845474		1.46201e+14
M3-[1	848838		3.17484e+13
M3-[4	848968		1.96245e+13
M3-[5	849009		1.2165e+14
M3-\1	851827		2.66998e+13
M3-\4	851936		1.64992e+13
M3-\5	851971		1.02311e+14
M3-]1	854355		-nan
M3-]4	854448		1.40049e+13
M3-]5	854477		8.68692e+13
M3-^1	856511		-nan
M3-^4	856591		-nan
M3-^5	856616		7.43889e+13
M4-M3	6052.32		1.26172e+10
M4-N2	387267		6.80685e+14
M4-N3	393538		5.16359e+13
M4-N6	394243		2.15503e+16
M4-O2	569844		2.90566e+14
M4-O3	573009		2.23041e+13
M4-O6	573359		7.20471e+15
M4-P2	668594		1.51418e+14
M4-P3	670409		1.16363e+13
M4-P6	670617		3.41873e+15
M4-Q2	718064		1.12252e+14
M4-Q3	719946		7.59989e+12
M4-Q6	720537		1.9148e+15
M4-R2	756876		7.2371e+13
M4-R3	758134		4.90446e+12
M4-R6	758530		1.19858e+15
M4-S2	783410		4.95003e+13
M4-S3	784292		3.35703e+12
M4-S6	784570		8.04411e+14
M4-T2	802346		3.54026e+13
M4-T3	802988		2.40238e+12
M4-T6	803190		5.67949e+14
M4-U2	816330		2.62213e+13
M4-U3	816812		1.78023e+12
M4-U6	816963		4.16826e+14
M4-V2	826948		1.99765e+13
M4-V3	827319		1.35684e+12
M4-V6	827436		3.15429e+14
M4-W2	835200		1.55769e+13
M4-W3	835492		1.05841e+12
M4-W6	835584		2.44715e+14
M4-X2	841741		1.23855e+13
M4-X3	841974		8.41845e+11
M4-X6	842047		1.93819e+14
M4-Y2	847012		1.0013e+13
M4-Y3	847201		6.80792e+11
M4-Y6	847261		1.56211e+14
M4-Z2	851321		8.21185e+12
M4-Z3	851477		5.58484e+11
M4-Z6	851527		1.27798e+14
M4-[2	854890		6.81939e+12
M4-[3	855020		4.63901e+11
M4-[6	855062		1.05917e+14
M4-\2	857879		5.72567e+12
M4-\3	857989		3.89588e+11
M4-\6	858023		8.87854e+13
M4-]2	860407		-nan
M4-]3	860500		3.30379e+11
M4-]6	860529		7.51751e+13
M4-^2	862564		-nan
M4-^3	862643		-nan
M4-^6	862669		6.42223e+13
M5-N3	386010		5.28396e+14
M5-N6	386716		1.49476e+15
M5-N7	388286		2.26608e+16
M5-O3	565481		2.27116e+14
M5-O6	565832		4.86503e+14
M5-O7	566636		7.50658e+15
M5-P3	662881		1.1872e+14
M5-P6	663089		2.28217e+14
M5-P7	663554		3.5487e+15
M5-Q3	712418		7.6795e+13
M5-Q6	713009		1.2697e+14
M5-Q7	713300		1.98413e+15
M5-R3	750606		4.95312e+13
M5-R6	751002		7.91415e+13
M5-R7	751197		1.24073e+15
M5-S3	776764		3.38907e+13
M5-S6	777042		5.29659e+13
M5-S7	777179		8.32166e+14
M5-T3	795460		2.42474e+13
M5-T6	795663		3.73231e+13
M5-T7	795762		5.87292e+14
M5-U3	809284		1.79654e+13
M5-U6	809436		2.73531e+13
M5-U7	809511		4.30893e+14
M5-V3	819791		1.36915e+13
M5-V6	819908		2.06773e+13
M5-V7	819966		3.26004e+14
M5-W3	827964		1.06795e+13
M5-W6	828056		1.60287e+13
M5-W7	828101		2.52879e+14
