Energy, Intensity, Transition 
 0.025619299999999998,  5.0485008494543887e-11,  V23-V21
 0.030765499999999998,  8.695977597620371e-11,  V22-V20
 0.0399301,  9.418138044704612e-11,  U21-U19
 0.030765499999999998,  1.2642020095017622e-10,  V21-V19
 0.048850700000000004,  1.6952453669347667e-10,  U19-U17
 0.048850700000000004,  1.698452930890519e-10,  U20-U18
 0.037637300000000005,  2.299238348433616e-10,  V20-V18
 0.061140900000000005,  2.308636982776183e-10,  U17-U15
 0.0649951,  2.385656657278395e-10,  T19-T17
 0.037637300000000005,  2.4301774327352547e-10,  V19-V17
 0.0787456,  2.8320909749745596e-10,  U15-U13
 0.061140900000000005,  3.2606484411212773e-10,  U18-U16
 0.105253,  3.323840395546277e-10,  U13-U11
 0.147907,  3.8646921080517193e-10,  U11-U9
 0.08135160000000001,  3.9753371157510895e-10,  T17-T15
 0.0471041,  4.2753369641682157e-10,  V17-V15
 0.08135160000000001,  4.5607037289598326e-10,  T18-T16
 0.223249,  4.6182741138507587e-10,  U9-U7
 0.0471041,  4.723820140070654e-10,  V18-V16
 0.0787456,  4.81201479885037e-10,  U16-U14
 0.104783,  5.112501264721946e-10,  T15-T13
 0.376556,  5.983613896441424e-10,  U7-U5
 0.140069,  6.032680703808872e-10,  T13-T11
 0.111536,  6.478201586382773e-10,  S17-S15
 0.105253,  6.544555616409232e-10,  U14-U12
 0.196858,  6.942145531360266e-10,  T11-T9
 0.060663400000000006,  7.320456029897086e-10,  V15-V13
 0.297191,  8.156474656623127e-10,  T9-T7
 0.104783,  8.241575843008672e-10,  T16-T14
 0.147907,  8.81239803372906e-10,  U12-U10
 0.060663400000000006,  9.032170899969728e-10,  V16-V14
 0.143674,  9.73663121508262e-10,  S15-S13
 0.501429,  1.0337606206148926e-09,  T7-T5
 0.192078,  1.1643030106789217e-09,  S13-S11
 0.140069,  1.1760456678029635e-09,  T14-T12
 0.775621,  1.1845614566344138e-09,  U5-U3
 0.223249,  1.242350381226293e-09,  U10-U8
 0.0810776,  1.2643684853852118e-09,  V13-V11
 0.26999599999999996,  1.3149534037144861e-09,  S11-S9
 0.143674,  1.3326035159518342e-09,  S16-S14
 0.40770100000000004,  1.5046632549013403e-09,  S9-S7
 0.196858,  1.5937030633267953e-09,  T12-T10
